Kill: 5 2 20: Amir killed Seb by UT_MOD_G36
Kill: 9 8 17: RODOV killed Ed by UT_MOD_UMP45
Kill: 1 0 38: benD killed Kilaka by UT_MOD_M4
Kill: 1 10 38: benD killed Drorkula by UT_MOD_M4
Kill: 4 1 19: Or killed benD by UT_MOD_LR300
Kill: 4 5 19: Or killed Amir by UT_MOD_LR300
Kill: 3 7 19: Tal killed MAMBA by UT_MOD_LR300
Kill: 8 10 19: Ed killed Drorkula by UT_MOD_LR300
Kill: 6 5 25: [ACE] killed Amir by UT_MOD_HEGRENADE
Kill: 7 2 23: MAMBA killed Seb by UT_MOD_BLED
Kill: 0 7 17: Kilaka killed MAMBA by UT_MOD_UMP45
Kill: 4 3 19: Or killed Tal by UT_MOD_LR300
Kill: 4 5 19: Or killed Amir by UT_MOD_LR300
Kill: 2 6 19: Seb killed [ACE] by UT_MOD_LR300
Kill: 8 0 19: Ed killed Kilaka by UT_MOD_LR300
Kill: 1 9 38: benD killed RODOV by UT_MOD_M4
Kill: 2 4 19: Seb killed Or by UT_MOD_LR300
Kill: 10 8 38: Drorkula killed Ed by UT_MOD_M4
Kill: 1 7 38: benD killed MAMBA by UT_MOD_M4
Kill: 1 10 38: benD killed Drorkula by UT_MOD_M4
Kill: 1 7 38: benD killed MAMBA by UT_MOD_M4
Kill: 3 10 19: Tal killed Drorkula by UT_MOD_LR300
Kill: 1 4 38: benD killed Or by UT_MOD_M4
Kill: 7 3 19: MAMBA killed Tal by UT_MOD_LR300
Kill: 8 7 19: Ed killed MAMBA by UT_MOD_LR300
Kill: 5 0 20: Amir killed Kilaka by UT_MOD_G36
Kill: 6 5 18: [ACE] killed Amir by UT_MOD_MP5K
Kill: 4 8 19: Or killed Ed by UT_MOD_LR300
Kill: 3 9 19: Tal killed RODOV by UT_MOD_LR300
Kill: 2 6 19: Seb killed [ACE] by UT_MOD_LR300
Kill: 5 2 20: Amir killed Seb by UT_MOD_G36
Kill: 4 1 19: Or killed benD by UT_MOD_LR300
Kill: 10 3 38: Drorkula killed Tal by UT_MOD_M4
Kill: 5 10 20: Amir killed Drorkula by UT_MOD_G36
Kill: 7 5 19: MAMBA killed Amir by UT_MOD_LR300
Kill: 8 7 19: Ed killed MAMBA by UT_MOD_LR300
Kill: 1 8 38: benD killed Ed by UT_MOD_M4
Kill: 6 1 18: [ACE] killed benD by UT_MOD_MP5K
Kill: 2 6 19: Seb killed [ACE] by UT_MOD_LR300
Kill: 2 4 19: Seb killed Or by UT_MOD_LR300
Kill: 0 2 17: Kilaka killed Seb by UT_MOD_UMP45
Kill: 8 0 19: Ed killed Kilaka by UT_MOD_LR300
Kill: 9 8 17: RODOV killed Ed by UT_MOD_UMP45
Kill: 1 7 38: benD killed MAMBA by UT_MOD_M4
Kill: 4 5 19: Or killed Amir by UT_MOD_LR300
Kill: 3 6 19: Tal killed [ACE] by UT_MOD_LR300
Kill: 3 0 19: Tal killed Kilaka by UT_MOD_LR300
Kill: 4 8 19: Or killed Ed by UT_MOD_LR300
Kill: 2 9 19: Seb killed RODOV by UT_MOD_LR300
Kill: 7 3 19: MAMBA killed Tal by UT_MOD_LR300
Kill: 5 4 20: Amir killed Or by UT_MOD_G36
Kill: 1022 5 9: <world> killed Amir by MOD_TRIGGER_HURT
Kill: 1 7 38: benD killed MAMBA by UT_MOD_M4
Kill: 6 3 18: [ACE] killed Tal by UT_MOD_MP5K
Kill: 7 0 19: MAMBA killed Kilaka by UT_MOD_LR300
